,sentence,jobTitle,company,estimatedDatePosted,label
0,"Das sind wir:
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
1,"Ob Wasser-, Brand- oder Schimmelschäden - Perfektes Schadenmanagement ist unsere Stärke!",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
2,"Wir sind mit 15 Jahren Erfahrung der professionelle Partner unserer Kunden - von den ersten Notmaßnahmen, über die Schadstoffbeseitigung und Trocknung bis hin zur abschließenden Sanierung und Versicherungsabwicklung - schnell, zuverlässig und mit hoher handwerklicher Qualität.",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
3,Unser größter Erfolgsfaktor sind unsere Mitarbeiter!,Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
4,An unseren 10 Standorten in Norddeutschland arbeiten schon mehr als 80 Mitarbeiter erfolgreich für private und öffentliche Auftraggeber.,Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
5,Wir wollen weiter wachsen!,Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,other
6,Sind Sie dabei?,Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,other
7,"Für unsere zentrale Debitoren- und Kreditorenbuchhaltung am Standort Rostock suchen wir:
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,company
8,"Sachbearbeiter für den Bereich Buchhaltung (m/w/d)
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,other
9,"Das wären Ihre Aufgaben:
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,tasks
10,"Rechnungserstellung
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,tasks
11,"Kontierung und Buchung von Zahlungseingängen
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,tasks
12,"Überwachung und Klärung offener Posten
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,tasks
13,"Durchführung des Mahnwesens
",Sachbearbeiter für den Bereich Buchhaltung m w d,SICCUM Trocknungs GmbH,2021-05-04,tasks
