,sentence,jobTitle,company,estimatedDatePosted,label
0,"Du suchst einen Job, bei dem Du maßgeblich zum Erfolg eines schnell wachsenden Startups beiträgst?",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,company
1,Mit Afilio ermöglichen wir Menschen einen leichteren Zugang zu den oftmals verstaubten Themen Vorsorge und Versicherungen.,Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,company
2,"Mit über 2 Millionen registrierten Nutzer:innen und einem 30-köpfigen Team, sind wir bereits auf einem guten Weg.",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,company
3,"Wir glauben aber fest daran, dass wir gemeinsam noch viel mehr bewirken können.",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,company
4,"Wenn Du also den Mut hast, Dinge neu zu denken und den Tatendrang, diese dann auch umzusetzen, bist Du bei uns genau richtig!",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,company
5,"Als Content Manager:in verschaffst Du bei uns Menschen in jeder Lebenslage einen Zugang zu rechtlicher und finanzieller Vorsorge und hilfst ihnen, komplexe Themen wie die Patientenverfügung zu verstehen und zu regeln.",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,tasks
6,"Dabei arbeitest Du eng mit unseren Gründern, dem Performance Marketing und dem Product Team zusammen.",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,tasks
7,"Deine Aufgaben
",Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,tasks
8,Du entwickelst gemeinsam mit dem Team Content-Strategien und setzt diese selbstständig und in Zusammenarbeit mit Freelancer:innen um.,Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,tasks
9,Du hilfst bei der Planung und Umsetzung unserer SEO-Strategie und führst eigenständig Keyword-Recherchen durch.,Content Manager in Schwerpunkt SEO and Texten w m d Homeoffice möglich,Afilio Gesellschaft für Vorsorge mbH,2021-05-12,tasks
