,sentence,jobTitle,company,estimatedDatePosted,label
0,CHECK24 ist eines der führenden Online-Unternehmen und Deutschlands größtes Vergleichsportal.,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
1,"CHECK24 Shopping, der einzige Marktplatz mit integriertem Preisvergleich, bietet seinen Kunden die Auswahl aus einem breiten Produktsortiment.",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
2,Und wir wachsen weiter in neuen Kategorien - mit Dir.,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
3,"Wenn Du etwas bewegen willst, bist Du bei uns genau richtig.",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,other
4,"Erlebe die Dynamik des E-Commerce, agile Prozesse, flache Hierarchien und steile Entwicklungskurven.",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
5,Wir freuen uns auf Deine Bewerbung als (Junior) Produktmanager App (m/w/d) bei der CHECK24 Vergleichsportal Möbel GmbH.,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,other
6,"Aufgaben
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
7,"Du bist zentraler Ansprechpartner für unsere iOS und Android App
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
8,"Eigenständige Entwicklung von benutzerzentrierten Konzepten zur Verbesserungen unserer Apps und mobilen Website in Bezug auf Benutzerfreundlichkeit, Funktionalität und Conversion Optimierung
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
9,"Umsetzung von neuen Produktfeatures und -verbesserungen in enger Zusammenarbeit mit der IT und Geschäftsführung – vom Konzept über Entwicklung, Testing, Livegang bis zur Erfolgsmessung
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
10,"Beobachtung und Analyse des Wettbewerbs – und Marktgeschehens sowie technologischer Trends für die Entwicklung eines Produktes mit hohem Mehrwert für unsere Kunden
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
11,"Analyse und Optimierung der bestehenden App Features
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,tasks
12,"Qualifikation
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
13,"Sehr gut abgeschlossenes Hochschulstudium mit wirtschaftswissenschaftlicher oder technischer Ausrichtung
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
14,"Starke analytische und konzeptionelle Fähigkeiten und ein hohes Qualitätsbewusstsein
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
15,"Sehr gutes Auge für Design und Spaß daran mit UX-Tools zu arbeiten
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
16,"Grundlegende Kenntnisse in Web- und Datenbanktechnologien von Vorteil (  PHP, SQL, HTML)
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
17,"Eigeninitiative und Motivation sich in neue komplexe Sachverhalte einzuarbeiten
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
18,"Spaß daran in kleinen agilen Teams zu arbeiten und schnell Verantwortung zu übernehmen
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
19,"Verhandlungssichere Deutsch- und Englischkenntnisse
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,skillset
20,"Benefits
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
21,"Mit mehr als 10 Jahren Erfolg am Markt bieten wir Dir die Stabilität eines etablierten Online-Unternehmens - und stellen unbefristet in Festanstellung ein
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
22,"Steile Karriere-Chancen durch kontinuierliches Wachstum – schlage individuell den Weg zum Fachexperten ein oder entwickle Dich bei uns zur Führungskraft
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
23,"Individuelle Entwicklungs- und Weiterbildungsmöglichkeiten dank einem breiten Trainingskatalog und einer spezialisierten Personalentwicklung für Ihren Karrierepfad
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
24,"Gutscheine für zahlreiche CHECK24 Produkte und eine bezuschusste betriebliche Altersversorgung
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
25,Extras wie Getränke und Obst sind bei uns selbstverständlich!,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
26,"Zentraler Standort mit ausgezeichneter Verkehrsanbindung
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
27,"Erfolge feiern wir gemeinsam auf zahlreichen Events
",Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,company
28,Bereit für CHECK24?,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,other
29,Bewirb Dich jetzt!,Junior  Produktmanager App  m w d  Bereich Shopping   Möbel neu,CHECK24 Berlin 3 5,2021-04-22,other
