,sentence,jobTitle,company,estimatedDatePosted,label
0,"WERDE TEIL UNSERER ERFOLGSGESCHICHTE
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,other
1,Die Leister-Gruppe hat sich weltweit einen exzellenten Ruf als Technologieführerin und als service- und lösungsorientierte Partnerin für ihre Kunden erarbeitet.,Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
2,Im deutschen Markt agiert Leister besonders erfolgreich.,Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
3,"Unser Know-how und unsere Freude an der Arbeit bei der Marktführerin möchten wir mit Dir teilen und suchen Dich daher an unserem Standort in Solingen in Vollzeit als
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
4,"Buchhalter (m/w/d)
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,other
5,"Schwerpunkt Debitorenbuchhaltung
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,other
6,"Deine wesentlichen Aufgaben:
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,tasks
7,"Du bearbeitest die Debitorenbuchhaltung und das Mahnwesen inklusive aller anfallenden Fragestellungen eigenständig
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,tasks
8,"Du übernimmst die Kontenklärung und -abstimmung und unterstützt bedarfsweise auch bei der Sachkontenabstimmung
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,tasks
9,"Du koordinierst und organisierst die Zusammenarbeit und Kommunika­tion mit unserem externen Lohnbüro
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,tasks
10,"Du bist erster Ansprechpartner für Mitarbeiter/innen und Führungskräfte in Fragen zur Lohn- und Gehaltsabrechnung
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,tasks
11,"Darum bist Du unsere erste Wahl:
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,skillset
12,"Du verfügst über eine erfolgreich abgeschlossene kaufmännische Ausbildung (idealerweise in einer Steuerberatung)
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,skillset
13,"Du hast bereits Berufserfahrung in der Debitorenbuchhaltung in einem Wirtschaftsunternehmen sammeln können
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,skillset
14,"Du verfügst über sehr gute EDV-Kenntnisse (MS Office, SAP by Design – von Vorteil)
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,skillset
15,"Du bist kommunikationsstark, arbeitest gerne in einem Team und hast einen hohen Grad an Eigenverantwortung und Selbstständigkeit
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,skillset
16,"Das bieten wir Dir:
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
17,"Ein anspruchsvolles und interessantes Tätigkeitsfeld in einem motivierenden Arbeitsklima beim Marktführer
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
18,"Attraktive Mitarbeiterkonditionen in diversen Online-Portalen
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
19,"Unbefristetes Arbeitsverhältnis in Vollzeit (inklusiv ein 13 Gehalt sowie vermögenswirksame Leistungen)
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
20,"30 Tage Urlaub (bei Vollzeitbeschäftigung)
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
21,"Investitionen in Deine weitere Entwicklung
",Buchhalter m w d Schwerpunkt Debitorenbuchhaltung,Leister Technologies Deutschland GmbH,2021-05-10,company
