,sentence,jobTitle,company,estimatedDatePosted,label
0,"Unternehmensbeschreibung
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,other
1,BlaBlaCar ist die weltweit größte Mitfahr-App für Langstrecken.,Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
2,Weltweit vertrauen mehr als 90 Millionen Reisende in 22 Ländern BlaBlaCar bei der Organisation ihres Pkw-Trips und teilen sich dadurch die Fahrtkosten.,Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
3,"Mit BlaBlaBus, unserem brandneuen Fernbus-Service, definieren wir das Erlebnis Busreisen neu, um es intelligenter und erschwinglicher zu machen.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
4,"Wir verstehen, dass moderne Reisende das einfachste, günstigste Angebot mit maximaler Flexibilität und geringem CO2-Footprint suchen.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
5,Mit der Integration von Fernbussen und Carsharing ergänzt BlaBlaCar sein führendes Angebot im Bereich der Sharing Mobility.,Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
6,"Derzeit beschäftigt BlaBlaCar mehr als 700 Mitarbeiter an 10 internationalen Standorten
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
7,"Unser Ziel: Eine Welt des unbegrenzten, umweltfreundlichen Reisens durch die Kombination von Bus und Fahrgemeinschaft kombiniert in einer einzigen App.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
8,"Stellenbeschreibung
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,other
9,"Als Praktikant/in oder Werkstudent/in wirst Du Multi-Channel-Marketing-Pläne erstellen, Offline- und/oder Online-Akquisitionskanäle finden, Inhalte für CRM und Social Media erstellen, Kampagnen einrichten und deren Performance zu verfolgen.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
10,"Du wirst Teil eines kompetenten und motivierten Teams sein, dessen Ziel es ist, das Wachstum von BlaBlaCar in Deutschland zu beschleunigen.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,company
11,"Die Position erfordert daher einen scharfen, analytischen und kreativen Verstand mit einem unternehmerischen Geist.",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,skillset
12,Du arbeitest eng mit dem lokalen Marketing Manager zusammen und wirst bei der Durchführung der Kampagnen von einem Netzwerk von Channel-Spezialisten im zentralen Team in Paris unterstützt.,Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
13,"So wirst Du zum Erfolg unserer Kampagnen beitragen:
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,skillset
14,Content-Erstellung und Kampagnenmanagement für CRM und Social Media.,Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
15,"Unterstützung bei der Planung und Durchführung von Online- und Offline-Marketingkampagnen
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
16,"Sammeln, Aufbereiten und Analysieren von Marketing-KPIs zur Leistungsmessung
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
17,"Austausch von Best Practices mit anderen Marketing-Teams, sowohl lokal als auch zentral
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
18,"Aufsetzen von lokalen Promotion- und Vouchering-Kampagnen
",Praktikum Werkstudententätigkeit Marketing neu,BlaBlaCar,2021-04-29,tasks
