,sentence,jobTitle,company,estimatedDatePosted,label
0,Durch den Einsatz modernster IT individuelle Geschäftsabläufe der Kunden verbessern und sie mit innovativen Technologien bei ihren Veränderungsprozessen begleiten?,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,tasks
1,Das ist genau dein Ding?,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
2,"Dann lebe deine Leidenschaft in einer Position, in der du detaillierte Digital-, Cloud- und Infrastruktur-Strategien erarbeitest, planst und die Umsetzung von IT-Transformationen unterstützt.",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,tasks
3,"Das erwartet dich  Du betreust nationale wie internationale Großprojekte zur Erneuerung von IT-Landschaften  Gemeinsam mit den Entscheidern findest du dabei kreative und zukunftsfähige Infrastrukturlösungen  Zudem berätst du die Kunden in Bezug auf den optimalen Einsatz von Infrastrukturtechnologien  Deine persönliche Weiterentwicklung verläuft ganz nach Plan, da du dich individuell einbringst und von Experten lernst  Mit wachsender Erfahrung übernimmst du immer mehr Verantwortung für das Team und deine Projekte      ",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,tasks
4,Mehr vom Jobprofil anzeigen     ,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
5,Weniger anzeigen         ,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
6,Basisqualifikationen  Darauf freuen wir uns  Studium der Informatik oder der Naturwissenschaften bzw.,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,skillset
7,"eine IT-Ausbildung  Sehr gute analytisch-konzeptionelle Fähigkeiten  Linux-Know-how und Einblicke ins Change Management  Kommunikations- und Präsentationsstärke auf Deutsch und Englisch  Mobilität, hohe Lernbereitschaft und Spaß an der Arbeit in internationalen Projektteams   ",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,skillset
8,"Bei Accenture arbeitest du mit authentischen Persönlichkeiten, die eines gemeinsam haben: Leidenschaft für Veränderung.",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,company
9,"Wir suchen ständig neue Mitarbeitende, die mit ihrer Persönlichkeit, ihrem Wissen und ihren Fähigkeiten unsere agilen und interdisziplinären Teams noch besser machen.",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,company
10,"Die Synergie von Technologie und menschlicher Intelligenz hilft uns dabei, um digitale Innovationen zu entfachen und die Welt zu verändern.",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,company
11,"Werde Teil unseres Teams und implementiere innovative Lösungen, mit denen unsere Kunden die Chancen des digitalen Wandels ergreifen können.",Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,company
12,Dein Kontakt Du hast fragen?,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
13,Dann wende dich gerne an unser Recruiting Team per E-Mail an recruiting_germany@accenture.,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
14,com oder telefonisch unter 00800 45045045.,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
15,Wir freuen uns auf deine Bewerbung!,Junior Consultant Intelligent Cloud and Infrastructure all genders,Accenture,22/01/2021,other
16,"Referenzcode: SF75413S
",Global Senior Human Resources Manager f m d,TÜV Rheinland Group,05/05/2021,other
17,"Gesellschaft: TÜV Rheinland AG
",Global Senior Human Resources Manager f m d,TÜV Rheinland Group,05/05/2021,other
18,Die Begeisterung für zukunftsweisende Lösungen teilen wir mit über 20.,Global Senior Human Resources Manager f m d,TÜV Rheinland Group,05/05/2021,company
19,000 Menschen rund um den Globus.,Global Senior Human Resources Manager f m d,TÜV Rheinland Group,05/05/2021,company
20,Bei TÜV Rheinland können Sie Ihr Wissen eigenverantwortlich einbringen und sich dabei persönlich immer weiter entwickeln.,Global Senior Human Resources Manager f m d,TÜV Rheinland Group,05/05/2021,company
