,sentence,jobTitle,company,estimatedDatePosted,label
0,"ARBEITEN BEI UNS:
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,other
1,"RAUM FÜR IDEEN
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,other
2,Wir bei NORD DRIVESYSTEMS entwickeln den richtigen Antrieb für weltweiten Fortschritt.,E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
3,Unsere innovativen Lösungen bringen z.,E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
4,"Kräne in Hafenanlagen, Dachkonstruktionen in modernen Sportstadien, Gepäckförderbänder in Flughäfen und Gondelbahnen in Skigebieten in Bewegung.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
5,"Unterstützen auch Sie uns mit Ihren Ideen dabei, die Welt am Laufen zu halten.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
6,"Zum nächstmöglichen Zeitpunkt suchen wir einen
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
7,"Commerce Manager (gn) als Product Owner Internationale Website
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,other
8,"Ihre Aufgaben:
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
9,"Verantwortung für den Betrieb, die Pflege und die Weiterentwicklung der internationalen Website nord.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
10,"com in einem komplexen Systemumfeld in globaler Abstimmung mit den involvierten Bereichen und unter Berücksichtigung der umliegenden Systeme (PIM, MAM, Online-Shop etc.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
11,"Leitung entsprechender Projekte zur Optimierung der Website sowie Durchführung stetiger Erfolgskontrollen und Verbesserungsmaßnahmen
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
12,"Koordination und Entwicklung des internationalen Redakteursnetzwerks sowie Steuerung der involvierten Agenturen
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
13,Durchführung von Anforderungsanalysen in einem fachbereichs- und länderübergreifenden Anforderungsumfeld sowie fachliche Koordination der Anforderungen an umliegende Systeme (z.,E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
14,"Pattern Library, Site Search)
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
15,"Wahrnehmung der globalen Key-User-Funktion für das Content-Management-System First Spirit (Support, Durchführung von Schulungen etc.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
16,"Konzeption und Durchführung von Webanalysen für die globalen Online-Kanäle sowie Erfassung und Auswertung von Daten zum Nutzerverhalten auf den Online-Kanälen
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
17,"Umsetzung von Kampagnen im Rahmen des Inbound- und Direktmarketings, Unterstützung bei der Erstellung der entsprechenden Kommunikationsmaterialien und Steuerung des globalen Reportings und der Maßnahmenableitung
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
18,"Steuerung von Online-Werbemaßnahmen auf Basis der globalen Kampagnenplanung, Planung und Überwachung der globalen Maßnahmen (  SEA), Auswertung der Performance von Kampagnen sowie Verantwortung für das Lead-Management (Leadgenerierung und -qualifizierung)
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,tasks
19,"Ihr Profil:
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
20,"abgeschlossenes Studium einer relevanten Fachrichtung, z.",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
21,"der Medien- oder Kommunikationswissenschaften, der Betriebswirtschaft oder der Wirtschaftsinformatik
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
22,"einschlägige Berufspraxis im Online-Marketing
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
23,"Erfahrung in der Leitung komplexer Projekte
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
24,"fundierte Kenntnisse in der Arbeit mit einschlägigen Content-Management-Systemen sowie in der Webanalyse und SEO-Techniken
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
25,"gutes Englisch in Wort und Schrift
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
26,"Kommunikations- und Kooperationsvermögen sowie souveränes Auftreten in Verbindung mit Durchsetzungsfähigkeit
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,skillset
27,"Wir bieten:
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
28,"abwechslungsreiche Aufgaben in einem tarifgebundenen Familienunternehmen mit kurzen Wegen
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
29,"eine umfangreiche Einarbeitung sowie individuelle Entwicklungs- und Qualifizierungsangebote
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
30,"ein attraktives Gehalt, 30 Tage Urlaub/Jahr und flexible Arbeitszeiten
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
31,"eine Kantine im Unternehmen mit einer großen Auswahl an Speisen zu fairen Preisen sowie Wasserspender
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
32,"einen Parkplatz in unmittelbarer Nähe bzw ein vergünstigtes HVV-ProfiTicket
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
33,"vielseitige Gesundheitsangebote, darunter jährliche Grippeschutzimpfungen und Gesundheitstage, und spezielle Konditionen im Hansefit-Verbund bei Sportstätten, Schwimmbädern und Fitnessstudios
",E Commerce Manager gn als Product Owner Internationale Web neu,Getriebebau NORD GmbH and Co KG 3 4,2021-06-12,company
