,sentence,jobTitle,company,estimatedDatePosted,label
0,"KraussMaffei – Pioneering Plastics
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
1,KraussMaffei ist einer der weltweit führenden Hersteller von Maschinen und Anlagen für die Produktion und Verarbeitung von Kunststoff und Kautschuk.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
2,Unsere Marke steht für Spitzentechnologie – seit mehr als 180 Jahren.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
3,"Unser Leistungsspektrum umfasst sämtliche Technologien in der Spritzgieß, Extrusions- und Reaktionstechnik.",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
4,Dadurch verfügt KraussMaffei über ein Alleinstellungsmerkmal in der Branche.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
5,"Mit hoher Innovationskraft stellen wir für unsere Kunden mit standardisierten und individuellen Produkt-, Verfahrens-, Digital- und Servicelösungen einen nachhaltigen Mehrwert über deren gesamte Wertschöpfungskette sicher.",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
6,"Mit unserem Leistungsangebot bedienen wir unter anderem Kunden aus der Automobil-, Verpackungs-, Medizin- und Bauindustrie, sowie Hersteller von Elektrik- und Elektronikprodukten und Haushaltsgeräten.",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
7,KraussMaffei beschäftigt weltweit rund 5.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
8,500 Mitarbeiter.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
9,Mit mehr als 30 Tochtergesellschaften und über 10 Produktionsstätten sowie rund 570 Handels- und Servicepartnern ist KraussMaffei international kundennah vertreten.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
10,Der Hauptsitz ist seit 1838 in München.,Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,company
11,"Aktuell suchen wir für unseren Standort in München  zum nächstmöglichen Zeitpunkt einen
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,other
12,"Teamleiter Global Process Excellence (m/w/d) 
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,other
13,"Was Sie bei uns erwartet
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
14,"Beurteilung bestehender Produktionsprozesse auf Effizienz und Effektivität
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
15,"Durchführen ständiger Prozessverbesserungen anhand von Best Practice mit den lokalen Lean Teams
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
16,"Erarbeiten, Definieren und Verantwortung für die Erhebung von KPIs zur Messung und Verfolgung der Produktionsprozesse
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
17,"Bewertung und Interpretation der gewonnenen Prozessdaten anhand festgelegter KPIs und Bericht  im globalen Operations-Team
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
18,"Verantwortung für die Operationsprozesse im KM Process House,  deren Standardisierung und Prüfung der Schnittstellen zu vor- und nachgelagerten Prozessen (  Hand over Prozess Projektmanagement zu Operations)
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
19,"Unterstützung der lokalen Einheiten bei der Prozessumsetzung
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
20,"Harmonisierung und  Einhaltung der Produktionsprozesse durch den jeweiligen lokalen Operations-Verantwortlichen
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
21,"Liefern von Prozesswissen und Mitarbeit bei der Erstellung der Digitalisierungs-Roadmap (  papierlose Fabrik, Digitale Inbetriebnahme)
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
22,"Fachliche und disziplinarische Führung eines Teams
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,tasks
23,"Was Sie mitbringen
",Teamleiter Global Process Excellence m w d,KraussMaffei Technologies GmbH,2021-05-04,skillset
