,sentence,jobTitle,company,estimatedDatePosted,label
0,"Weiterentwicklung: Übernahme einer verantwortungsvollen Aufgabe im Produktmanagement, Schulungen in unserer hauseigenen DriveAcademy®, Mentorenprogramm
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
1,"Technologie: Erstklassige Ausstattung und Arbeitsbedingungen, hochmoderne Produkte, Mitarbeit in innovativen Projekten
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
2,"Infrastruktur: Gute Verkehrsanbindung mit öffentlichen Verkehrsmitteln oder mit dem Pkw, ausreichende Parkmöglichkeiten sowie Elektroladestationen vorhanden
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
3,"Vergütung: Bundesweit nach Tarif Elektro- und Metallindustrie Baden-Württemberg, ergebnisabhängige Sonderzahlung, langjährige attraktive betriebliche Altersvorsorge
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
4,"Work-Life-Balance: Flexible Arbeitszeitmodelle, Gesundheitsmanagement vital360°, Ergonomie und Bewegung am Arbeitsplatz, Kooperation mit Fitnessstudios, Kindertagesstätte, Sozialberatung, Mitarbeiterrabatte und Sonderkonditionen
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
5,"Koordination von Produktdefinitionen sowie Begleitung von Entwicklungsprojekten und weltweiten Markteinführungen
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,company
6,"Verantwortung über Energiemanagement-Komponenten wie Ein- und Rückspeisungen und DC-DC-Wandler, Hardware- und Softwarelösungen für Zustandsüberwachungen und Condition Monitoring
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,tasks
7,"Internationale Zusammenarbeit mit den weltweiten Vertriebsorganisationen von SEW-EURODRIVE sowie Analyse und Bewertung von internationalen Marktinformationen
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,tasks
8,"Durchführung von Marketingmaßnahmen sowie Präsentationen und Trainings für die zugeordneten Produkte
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,tasks
9,"Studium der Elektrotechnik, Mechatronik, Wirtschaftsingenieurwesen oder vergleichbar
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,skillset
10,"Erfahrung mit Produkten der Automatisierungs- und Antriebstechnik sowie im Marketing von Industriegütern
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,skillset
11,"Idealerweise Erfahrung im Produktmanagement für Produkte der Automatisierung- und Antriebstechnik
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,skillset
12,"Ausgeprägte MS Office-Kenntnisse, insb.",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,skillset
13,"PowerPoint und Excel
",Produktmanager Antriebselektronik  w m d  neu,SEW-Eurodrive GmbH and Co  KG 4 0,2021-04-22,skillset
