,sentence,jobTitle,company,estimatedDatePosted,label
0,Wir sind auf dem Weg.,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
1,Kommen Sie mit!,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
2,Starten Sie Ihre Karriere!,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
3,Werden Sie Teil unserer dänischen Unternehmenskultur!,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
4,"Vielseitig und faszinierend sind nicht nur die Logistikbranche, sondern auch die Arbeitsmöglichkeiten bei DSV.",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
5,"Ob Import oder Export, Luft- oder Seefracht, Landtransporte oder individuelle Logistiklösungen – es gibt viele Bereiche in denen wir regelmäßig qualifizierte Mitarbeiter suchen.",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
6,"In den letzten dreißig Jahren ist DSV von einem kleinen dänischen Unternehmen zu einem weltweit tätigen Konzern herangewachsen, der Waren aller Art rund um den Globus transportiert.",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
7,"DSV ist ein globaler Transport- und Logistikdienstleister mit den Dienstleistungsspektren Road, Solutions und Air & Sea.",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
8,Weltweit beschäftigen wir 60.,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
9,000 Mitarbeiter in mehr als 90 Ländern.,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,company
10,Suchen Sie eine neue Herausforderung oder einen attraktiven Arbeitgeber?,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
11,Dann starten Sie Ihre Karriere und werden Sie Teil unserer dänischen Unternehmenskultur!,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
12,"Aufgrund unseres stetigen Wachstums suchen wir für unsere Division Road für den Standort Schwieberdingen zum nächstmöglichen Zeitpunkt in Vollzeit eine/n Senior Sales Representative, Outdoor / Vertriebsmitarbeiter, Außendienst (m/w/d) Deine spannenden Aufgaben sind: -Du planst und bereitest deine Kundenbesuche eigenständig vor - Du steuerst eigenverantwortliche die Übernahme von Anfragen und Kalkulationen und hältst deine Angebote nach - Du arbeitest eng mit unserem Sales Support zusammen - Du begleitest die nachhaltige Implementierung von Neugeschäften in Zusammenarbeit mit unseren internen DSV-Schnittstellen und gestaltest somit aktiv die Zukunft von DSV mit Dein Anforderungsprofil: - Eine abgeschlossene kaufmännische Ausbildung, betriebswirtschaftliche Kenntnisse - Du warst bereits mindestens 4 Jahre erfolgreich im Außendienst tätig - Idealerweise bringst Du bereits Kenntnisse im Logistiksektor (bevorzugt Landverkehr, Kontraktlogistik) mit - Verkaufen bedeutet für Dich Zuhören, Verstehen und Hinterfragen?",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
13,Top!,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,other
14,Du liebst es andere zu begeistern und es fällt Dir leicht Dich selbst zu motivieren?,Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,skillset
15,"Wenn Du jetzt noch eigenständig und strukturiert in einem dynamischen Umfeld arbeiten kannst, dann bist Du bei uns an der richtigen Adresse!",Senior Sales Representative Vertriebler m w d 379 2020 Speditionskaufmann frau,DSV Solutions GmbH,2020-10-20,skillset
